id,dayNumber,recordedAt,recordedBy,balances.AS,balances.ET,balances.TN,balances.VN,balances.LR,balances.VG,balances.GV,balances.AV,balances.AR,balances.RD,balances.AD,balances.DH,balances.SD,balances.AK,balances.MT,balances.SK,paydaysDistributed.VG,paydaysDistributed.AV,paydaysDistributed.AR,paydaysDistributed.RD,paydaysDistributed.AD,paydaysDistributed.GV,paydaysDistributed.AS,paydaysDistributed.ET,paydaysDistributed.LR,paydaysDistributed.TN,paydaysDistributed.VN,paydaysDistributed.AK,paydaysDistributed.SK,paydaysDistributed.MT,paydaysDistributed.DH,paydaysDistributed.SD,status,ledger.AS.status,ledger.AS.cashOut,ledger.AS.rebuys,ledger.AS.buyIn,ledger.SK.buyIn,ledger.SK.status,ledger.SK.rebuys,ledger.SK.cashOut,ledger.AR.buyIn,ledger.AR.cashOut,ledger.AR.rebuys,ledger.AR.status,ledger.MT.status,ledger.MT.rebuys,ledger.MT.cashOut,ledger.MT.buyIn,ledger.VG.buyIn,ledger.VG.status,ledger.VG.rebuys,ledger.VG.cashOut,ledger.DH.status,ledger.DH.rebuys,ledger.DH.cashOut,ledger.DH.buyIn,ledger.GV.cashOut,ledger.GV.rebuys,ledger.GV.status,ledger.GV.buyIn,ledger.ET.status,ledger.ET.cashOut,ledger.ET.rebuys,ledger.ET.buyIn,ledger.AK.buyIn,ledger.AK.status,ledger.AK.rebuys,ledger.AK.cashOut,ledger.SD.buyIn,ledger.SD.rebuys,ledger.SD.cashOut,ledger.SD.status,ledger.TN.buyIn,ledger.TN.rebuys,ledger.TN.cashOut,ledger.TN.status,ledger.AV.buyIn,ledger.AV.rebuys,ledger.AV.cashOut,ledger.AV.status
Z0eeqKoSX8rnN8FmXsP5,1,2026-06-04T15:01:18.968Z,qIumLMeCzsOdo2PSUPMUPBvHDHU2,17540,8300,8300,8300,2660,6500,10930,8300,8300,8300,11210,7230,8450,-490,9580,9390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sic9oNbNYr4Xf4AsPVcL,2,2026-06-05T15:26:28.754Z,qIumLMeCzsOdo2PSUPMUPBvHDHU2,16070,8300,8300,8300,2660,14380,11340,8300,-100,8300,5900,3430,8610,5190,15960,7850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3VHS9JMit5S9j4zv6bV,3,2026-06-06T14:08:58.362Z,qIumLMeCzsOdo2PSUPMUPBvHDHU2,12350,8300,8300,8300,2660,13400,11060,8300,-100,8300,0,4130,8610,5190,26140,7850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKoYne7fkIN6CLDMY3gz,4,2026-06-08T11:09:30.754Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,15550,10000,10000,10000,5950,13400,11060,10000,5190,3290,3290,8920,10000,10220,27220,7680,0,1700,3290,3290,3290,0,0,1700,3290,2740,1700,0,3290,0,3290,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lXMfMCeN7XtzC7ug15Lq,5,2026-06-08T15:18:44.947Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,14170,10000,10000,10000,5950,14550,9140,10000,1290,3290,3290,9080,8350,11070,27220,14370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XreagoBoEDZ0iASvKIyq,6,2026-06-09T14:57:46.333Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,6530,13010,14430,10000,5950,13800,8260,5210,1290,3090,9150,8720,8350,14330,29250,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0Z7nTNdxDiKXgvGs0R2,7,2026-06-11T11:42:51.312Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,5390,13010,19320,10000,5950,14350,3760,5210,5070,3090,10490,7460,8740,15190,23140,11600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ymhqPsDzsnPLyTrxB55N,8,2026-06-11T15:01:22.857Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,140,13010,10630,10000,5950,14290,7630,5210,7400,3090,10490,5010,8740,20870,27300,12010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSPwKy7Z8ZtUkyD3iYqD,9,2026-06-12T14:39:19.458Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,2680,7850,10630,10000,9240,14790,10740,8500,4700,6380,10490,8730,10000,18470,41600,11360,0,3290,3290,3290,0,0,3290,3290,3290,0,0,0,0,0,3290,1260,completed,cashed_out,980,0,140,2010,cashed_out,0,1360,5000,1410,2400,cashed_out,cashed_out,0,22600,8300,5990,cashed_out,0,4900,cashed_out,0,2430,2000,10740,0,cashed_out,7630,cashed_out,1550,0,10000,8300,cashed_out,0,5900,,,,,,,,,,,,
nVNTmMcdliRVOteaEL5G,10,2026-06-13T14:02:33.997Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,2030,9360,10630,10000,9240,13330,10420,8500,6100,6380,10490,18130,9210,18470,41600,2270,,,,,,,,,,,,,,,,,completed,cashed_out,30,1000,1680,1360,cashed_out,10000,2270,2200,4300,700,cashed_out,,,,,6490,cashed_out,0,7030,cashed_out,6730,18130,2000,2420,2000,cashed_out,740,cashed_out,8510,0,7000,,,,,10000,0,9210,cashed_out,,,,,,,,
d4xRNcd0B9Z5MMikBUW8,11,2026-06-14T08:00:05.377Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,1530,9360,10630,10000,9240,11780,10420,8500,6750,6380,10490,18130,10610,18470,41600,2270,,,,,,,,,,,,,,,,,completed,cashed_out,500,0,1000,,,,,1000,1850,200,cashed_out,,,,,5030,cashed_out,0,3480,,,,,,,,,,,,,,,,,7000,0,8400,cashed_out,,,,,,,,
KWBw89Le7RThikQw66T2,12,2026-06-14T14:29:34.450Z,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,3240,9360,10730,10000,9240,8730,10420,2300,6750,6380,10490,18130,8590,18470,53330,0,,,,,,,,,,,,,,,,,completed,cashed_out,2710,0,1000,2270,cashed_out,0,0,,,,,cashed_out,0,20030,8300,3480,cashed_out,0,430,cashed_out,0,2000,2000,,,,,,,,,,,,,5000,0,2980,cashed_out,10000,0,10100,cashed_out,8500,0,2300,cashed_out
