id,dayNumber,recordedBy,ledger.AK.buyIn,ledger.AK.rebuys,ledger.AK.cashOut,ledger.AK.status,ledger.AS.buyIn,ledger.AS.rebuys,ledger.AS.cashOut,ledger.AS.status,ledger.DH.buyIn,ledger.DH.rebuys,ledger.DH.cashOut,ledger.DH.status,ledger.GV.buyIn,ledger.GV.rebuys,ledger.GV.cashOut,ledger.GV.status,ledger.MT.buyIn,ledger.MT.rebuys,ledger.MT.cashOut,ledger.MT.status,ledger.SK.buyIn,ledger.SK.rebuys,ledger.SK.cashOut,ledger.SK.status,ledger.TN.buyIn,ledger.TN.rebuys,ledger.TN.cashOut,ledger.TN.status,ledger.VG.buyIn,ledger.VG.rebuys,ledger.VG.cashOut,ledger.VG.status,balances.AD,balances.AV,balances.AK,balances.AS,balances.AR,balances.DH,balances.ET,balances.GV,balances.LR,balances.MT,balances.RD,balances.SK,balances.SD,balances.TN,balances.VN,balances.VG,recordedAt,status,ledger.SD.buyIn,ledger.SD.rebuys,ledger.SD.cashOut,ledger.SD.status,paydaysDistributed.AD,paydaysDistributed.AV,paydaysDistributed.AK,paydaysDistributed.AS,paydaysDistributed.AR,paydaysDistributed.DH,paydaysDistributed.ET,paydaysDistributed.GV,paydaysDistributed.LR,paydaysDistributed.MT,paydaysDistributed.RD,paydaysDistributed.SK,paydaysDistributed.SD,paydaysDistributed.TN,paydaysDistributed.VN,paydaysDistributed.VG,ledger.AR.buyIn,ledger.AR.cashOut,ledger.AR.rebuys,ledger.AR.status,ledger.ET.status,ledger.ET.cashOut,ledger.ET.rebuys,ledger.ET.buyIn,ledger.AV.buyIn,ledger.AV.rebuys,ledger.AV.cashOut,ledger.AV.status,ledger.LR.status,ledger.LR.cashOut,ledger.LR.rebuys,ledger.LR.buyIn
1VBhkRdgoWwRnRAqXNQs,15,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,3300,0,15500,cashed_out,1300,0,650,cashed_out,2000,0,2600,cashed_out,4000,0,100,cashed_out,8300,10000,4310,cashed_out,5000,0,10750,cashed_out,10000,0,8400,cashed_out,3500,0,5090,cashed_out,10490,5590,37880,2650,10040,18680,10000,6100,10000,43020,9670,13990,5670,8400,10000,9390,2026-06-17T14:59:27.842Z,completed,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7VXNsn5FI0OrBSD6vtx7,14,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,3300,0,8060,cashed_out,1000,1300,10,cashed_out,2000,0,1200,cashed_out,8300,0,7640,cashed_out,8300,0,8050,cashed_out,3050,0,4950,cashed_out,"","","","",2500,1000,3890,cashed_out,10490,5590,25680,3300,10040,18080,10000,10000,10000,57010,9670,8240,5670,10000,10000,7800,2026-06-16T14:34:04.579Z,completed,5430,0,2380,cashed_out,0,3290,0,3290,3290,0,640,1670,760,0,3290,3290,3290,770,0,1830,"","","","","","","","","","","","","","","",""
CKoYne7fkIN6CLDMY3gz,4,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3290,10000,10220,15550,5190,8920,10000,11060,5950,27220,3290,7680,10000,10000,10000,13400,2026-06-08T11:09:30.754Z,"","","","","",3290,1700,0,0,3290,3290,1700,0,3290,0,3290,3290,1390,2740,1700,0,"","","","","","","","","","","","","","","",""
DSPwKy7Z8ZtUkyD3iYqD,9,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,8300,0,5900,cashed_out,1730,0,980,cashed_out,2000,0,2430,cashed_out,7630,0,10740,cashed_out,8300,0,22600,cashed_out,2010,0,1360,cashed_out,"","","","",4400,0,4900,cashed_out,10490,8500,18470,2680,4700,8730,7850,10740,9240,41600,6380,11360,10000,10630,10000,14790,2026-06-12T14:39:19.458Z,completed,"","","","",0,3290,0,3290,3290,3290,3290,0,3290,0,3290,0,1260,0,0,0,5000,1410,2400,cashed_out,cashed_out,1550,0,10000,"","","","","","","",""
EGt2UVtyCLpcIpFKfgzk,17,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,3300,0,4390,cashed_out,1450,500,700,cashed_out,2000,700,0,cashed_out,2900,0,3960,cashed_out,8300,0,7060,cashed_out,3030,0,4560,cashed_out,8400,0,9010,cashed_out,3500,0,6190,cashed_out,10490,5590,44340,700,13700,14180,11400,3960,10000,40190,9670,14560,4060,9010,10000,9720,2026-06-19T14:36:41.573Z,completed,3500,0,1910,cashed_out,"","","","","","","","","","","","","","","","",2500,1900,1000,cashed_out,cashed_out,11400,0,10000,"","","","","","","",""
J0Z7nTNdxDiKXgvGs0R2,7,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10490,5210,15190,5390,5070,7460,13010,3760,5950,23140,3090,11600,8740,19320,10000,14350,2026-06-11T11:42:51.312Z,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
JBxXX0kpTRZoZRvfLXHN,16,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,3300,0,8670,cashed_out,1650,0,950,cashed_out,3300,0,1500,cashed_out,3100,100,0,cashed_out,10000,0,8410,cashed_out,3990,0,3030,cashed_out,"","","","",3500,0,1140,cashed_out,10490,5590,43250,1950,15300,16880,10000,2900,10000,41430,9670,13030,5650,8400,10000,7030,2026-06-18T15:03:38.111Z,completed,4000,0,3980,cashed_out,"","","","","","","","","","","","","","","","",2500,7760,0,cashed_out,"","","","","","","","","","","",""
KK3TUCoTAGai1rhFarP2,13,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,8300,0,10750,cashed_out,2000,0,1060,cashed_out,2000,0,2500,cashed_out,1420,8300,8290,cashed_out,8300,0,12230,cashed_out,2500,0,5800,cashed_out,10000,0,8500,cashed_out,2000,1150,0,cashed_out,10490,2300,20920,2300,6750,18880,9360,8990,9240,57260,6380,3050,5430,9230,10000,5580,2026-06-15T14:45:57.406Z,completed,3500,0,340,cashed_out,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
KWBw89Le7RThikQw66T2,12,ioqFKCyAhGOtyytLWtJLIWVMYJZ2,"","","","",1000,0,2710,cashed_out,2000,0,2000,cashed_out,"","","","",8300,0,20030,cashed_out,2270,0,0,cashed_out,10000,0,10100,cashed_out,3480,0,430,cashed_out,10490,2300,18470,3240,6750,18130,9360,10420,9240,53330,6380,0,8590,10730,10000,8730,2026-06-14T14:29:34.450Z,completed,5000,0,2980,cashed_out,"","","","","","","","","","","","","","","","","","","","","","","","",8500,0,2300,cashed_out,"","","",""
S3VHS9JMit5S9j4zv6bV,3,qIumLMeCzsOdo2PSUPMUPBvHDHU2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,8300,5190,12350,-100,4130,8300,11060,2660,26140,8300,7850,8610,8300,8300,13400,2026-06-06T14:08:58.362Z,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
